;original_title;budget;popularity;release_date;revenue;clear_genres
61;Mr. Holland's Opus;0;7.137117;1995-12-29;106269971.0;Music, Drama, Family
62;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;0;11.700115;1996-01-12;0.0;Comedy
63;Two If by Sea;0;2.174487;1996-01-12;0.0;Comedy, Romance
64;Bio-Dome;15000000;6.387469;1996-01-12;0.0;Comedy
65;Lawnmower Man 2: Beyond Cyberspace;0;2.49535;1996-01-12;2409225.0;Action, Science Fiction
66;Two Bits;0;4.046208;1995-10-22;0.0;Drama, Family
67;Gazon maudit;0;2.518051;1995-02-08;0.0;Comedy, Romance
68;Friday;3500000;14.56965;1995-04-26;28215918.0;Comedy
69;From Dusk Till Dawn;19000000;15.339153;1996-01-19;25836616.0;Horror, Action, Thriller, Crime
70;Fair Game;50000000;5.912223;1995-11-03;11534477.0;Action, Thriller, Romance
71;Kicking and Screaming;0;3.367276;1995-10-06;718490.0;Comedy, Drama, Romance
72;Les misérables;0;1.479446;1995-03-22;0.0;Drama, History
73;Bed of Roses;0;10.412194;1996-01-26;19030691.0;Drama, Romance
74;Big Bully;15000000;2.936443;1996-01-26;2042530.0;Comedy, Family
75;Screamers;20000000;12.758848;1995-09-08;5781885.0;Horror, Science Fiction
76;Nico Icon;0;0.133893;1995-02-18;0.0;Documentary
77;The Crossing Guard;0;5.756462;1995-11-15;0.0;Drama, Thriller
78;The Juror;44000000;6.010579;1996-02-02;0.0;Drama, Thriller
79;بادکنک سفید;0;1.196256;1995-01-01;0.0;Family, Drama
80;Things to Do in Denver When You're Dead;8000000;4.486179;1995-12-01;529766.0;Drama, Crime
81;Antonia;900000;2.030174;1995-09-12;0.0;Drama, Comedy
82;Once Upon a Time... When We Were Colored;0;0.252287;1996-01-26;0.0;Romance, Drama
83;Last Summer in the Hamptons;0;0.531159;1995-11-22;0.0;
84;Angels and Insects;0;2.15166;1995-09-10;0.0;Drama, Romance
85;White Squall;38000000;9.568604;1996-02-02;10300000.0;Action, Drama
86;Dunston Checks In;16000000;4.814825;1996-01-12;0.0;Adventure, Comedy, Family
87;Black Sheep;0;8.963037;1996-02-01;32.0;Comedy
88;Nick of Time;8169363;6.848591;1995-11-22;8175346.0;Crime, Drama, Thriller
89;The Journey of August King;0;0.411424;1995-09-14;0.0;Drama
90;Mary Reilly;47000000;12.866139;1996-02-23;12379402.0;Drama, Horror, Thriller, Romance
91;Vampire in Brooklyn;14000000;9.071127;1995-10-26;19800000.0;Comedy, Horror, Romance
92;Beautiful Girls;0;4.670562;1996-02-09;0.0;Comedy, Drama, Romance
93;Broken Arrow;50000000;14.957626;1996-02-09;150270147.0;Action, Adventure, Drama, Thriller
94;A Midwinter's Tale;0;0.513391;1995-12-01;0.0;Comedy
95;La Haine;3000000;12.108196;1995-05-31;0.0;Drama
96;Shopping;0;2.657647;1994-12-06;0.0;Action, Adventure, Drama, Science Fiction, Thriller
97;Heidi Fleiss: Hollywood Madam;0;0.638211;1995-12-27;0.0;Documentary
98;City Hall;0;4.807223;1996-02-16;0.0;Drama, Thriller
99;Bottle Rocket;7000000;6.904831;1996-02-21;560069.0;Comedy, Crime, Drama
100;Mr. Wrong;0;3.329264;1996-02-16;0.0;Comedy, Romance
101;Unforgettable;18000000;2.464425;1996-02-23;0.0;Drama, Mystery, Science Fiction, Thriller
102;Happy Gilmore;12000000;9.592265;1996-02-16;41205099.0;Comedy
103;The Bridges of Madison County;24000000;5.951077;1995-05-28;182016617.0;Drama, Romance
104;Keiner liebt mich;0;1.015068;1994-11-07;0.0;Drama, Comedy, Family
105;Muppet Treasure Island;0;6.902423;1996-02-16;34327391.0;Action, Comedy, Music, Family, Adventure
106;Catwalk;0;0.976707;1995-12-08;0.0;Documentary
107;Headless Body in Topless Bar;0;0.001346;1995-05-20;0.0;Crime
108;Braveheart;72000000;20.755149;1995-05-24;210000000.0;Action, Drama, History, War
109;Taxi Driver;1300000;14.092713;1976-02-07;28262574.0;Crime, Drama
110;紅番區;7500000;12.314278;1995-01-30;32392047.0;Crime, Action, Comedy, Thriller
111;Before and After;35000000;2.938293;1996-02-23;0.0;Drama, Thriller
112;Margaret's Museum;0;0.372697;1995-09-13;0.0;Drama
113;Le Bonheur est dans le pré;13365000;1.254885;1995-01-31;0.0;Comedy
114;Anne Frank Remembered;0;0.243986;1995-06-08;1.0;Documentary, Drama, Foreign
115;The Young Poisoner's Handbook;0;6.178497;1995-01-20;0.0;Comedy, Crime, Drama
116;If Lucy Fell;0;2.891918;1996-03-08;0.0;Comedy, Romance
117;Steal Big Steal Little;25000000;1.522412;1995-09-29;6278139.0;Comedy, Drama
118;Race the Sun;0;1.317878;1996-03-22;0.0;Action, Adventure, Comedy, Drama, Family
119;The Boys of St. Vincent;0;0.86539;1992-12-06;0.0;Drama
120;Boomerang;40000000;6.506983;1992-06-30;70100000.0;Comedy, Romance
121;重慶森林;0;6.778979;1994-07-14;0.0;Drama, Comedy, Romance
122;L'uomo delle stelle;0;1.702639;1995-09-21;0.0;Drama, Romance
123;Flirting with Disaster;7000000;5.579088;1996-03-22;14702438.0;Comedy, Romance
124;The NeverEnding Story III;17000000;6.252377;1994-10-26;0.0;Fantasy
125;صمت القصور;0;0.406754;1994-09-30;0.0;Drama
126;Jupiter's Wife;0;0.001178;1995-01-01;0.0;
127;Pie in the Sky;0;0.699066;1996-02-09;0.0;Comedy, Romance
128;Angela;0;2.197439;1995-01-01;0.0;Comedy, Drama
129;Frankie Starlight;0;0.637554;1995-11-22;0.0;Drama, Romance, War
130;Jade;50000000;11.418917;1995-10-13;9851610.0;Action, Thriller, Mystery, Romance
131;Nueba Yol;0;0.291021;1995-08-16;0.0;Comedy, Drama, Romance
132;Sonic Outlaws;0;0.001838;1995-08-01;0.0;Music, Documentary
133;Down Periscope;0;5.184977;1996-03-01;0.0;Comedy
134;From the Journals of Jean Seberg;0;0.276401;1995-09-08;0.0;Documentary
135;Man of the Year;0;0.540436;1995-09-15;209935.0;Comedy
136;The Neon Bible;0;0.370342;1995-08-23;0.0;Drama
137;Target;0;0.001205;1995-08-01;0.0;
138;Up Close & Personal;60000000;3.402749;1996-03-01;0.0;Drama, Romance
139;The Birdcage;31000000;6.49968;1996-03-08;185260553.0;Comedy
140;Gospa;0;0.918504;1995-10-12;0.0;Drama
141;The Brothers McMullen;0;2.039196;1995-08-09;0.0;Comedy, Drama, Romance
142;Bad Boys;19000000;9.262184;1995-04-07;141407024.0;Action, Comedy, Crime, Thriller
143;The Amazing Panda Adventure;0;2.375865;1995-08-25;0.0;Action, Adventure, Drama, Family
144;The Basketball Diaries;0;7.415144;1995-04-21;0.0;Drama, Crime
145;An Awfully Big Adventure;4000000;0.922958;1995-07-21;851545.0;Romance, Drama, Comedy
146;Amateur;0;1.759012;1994-08-05;0.0;Crime, Comedy, Drama, Thriller
147;Apollo 13;52000000;18.761467;1995-06-30;355237933.0;Drama
148;Rob Roy;28000000;10.193549;1995-04-13;31596911.0;Adventure
149;The Addiction;0;3.137285;1995-01-10;0.0;Drama, Horror
150;Batman Forever;100000000;13.321354;1995-06-16;336529144.0;Action, Crime, Fantasy
151;Belle de jour;0;10.142662;1967-05-24;0.0;Drama, Romance
152;Beyond Rangoon;0;2.04189;1995-05-24;0.0;Drama, Thriller
153;Blue in the Face;2000000;11.528147;1995-09-15;1275000.0;Comedy
154;Canadian Bacon;11000000;5.391556;1995-06-08;178104.0;Action, Comedy
155;Casper;50000000;12.812539;1995-05-26;287928194.0;Fantasy, Comedy, Family
156;Clockers;25000000;4.558992;1995-09-15;13071518.0;Mystery, Crime, Drama
157;Congo;50000000;7.260574;1995-06-09;152022101.0;Action, Adventure, Drama, Mystery, Science Fiction, Thriller
158;Crimson Tide;53000000;8.657365;1995-05-12;157387195.0;Action, Thriller, Drama
159;Crumb;0;3.620388;1994-09-10;3174695.0;Documentary
160;Desperado;7000000;6.950458;1995-08-25;25405445.0;Thriller, Action, Crime
161;Devil in a Blue Dress;27000000;4.646132;1995-09-15;16140822.0;Drama, Mystery, Thriller
162;Die Hard: With a Vengeance;90000000;15.138855;1995-05-19;366101666.0;Action, Thriller
163;The Doom Generation;0;7.120806;1995-10-27;0.0;Action, Comedy, Crime, Drama
164;Feast of July;0;0.523575;1995-10-12;0.0;Drama, Crime
165;First Knight;55000000;15.178338;1995-07-07;127600435.0;Action, Adventure, Drama, Romance
166;Free Willy 2 - The Adventure Home;0;7.575098;1995-07-19;0.0;Adventure
167;Hackers;20000000;14.810519;1995-09-14;7563728.0;Action, Crime, Thriller, Drama
168;Jeffrey;0;3.196456;1995-08-18;0.0;Comedy, Drama, Romance
169;Johnny Mnemonic;25000000;11.715868;1995-05-26;19075720.0;Adventure, Action, Drama, Science Fiction, Thriller
170;Judge Dredd;90000000;8.184815;1995-06-30;113493481.0;Science Fiction
171;Jury Duty;0;3.676921;1995-04-12;17014653.0;Comedy, Drama
172;Kids;1500000;4.877872;1995-07-28;7412216.0;Drama, Crime
173;Living in Oblivion;500000;10.058329;1995-01-20;1148752.0;Drama, Comedy
174;Lord of Illusions;0;4.102409;1995-08-25;0.0;Mystery, Horror, Thriller
175;Love & Human Remains;0;0.354014;1993-05-20;0.0;Comedy, Drama
176;Mad Love;0;2.624771;1995-05-26;15453274.0;Drama, Family, Romance
177;Mallrats;6000000;8.25547;1995-10-20;2122561.0;Romance, Comedy
178;Mighty Morphin Power Rangers: The Movie;15000000;7.024227;1995-06-30;66000000.0;Action, Adventure, Science Fiction, Family, Fantasy
179;Moonlight and Valentino;0;1.01115;1995-09-29;0.0;Comedy, Drama, Romance
180;Mute Witness;2;2.466066;1995-09-28;1.0;Thriller, Foreign
181;Nadja;0;7.720056;1994-09-13;0.0;Horror, Thriller
182;The Net;22000000;13.304342;1995-07-28;110627965.0;Crime, Drama, Mystery, Thriller, Action
183;Nine Months;0;8.482834;1995-07-12;69660733.0;Comedy
184;Party Girl;150000;1.165039;1995-06-09;472370.0;Comedy
185;The Prophecy;8;10.187623;1995-09-01;16.0;Fantasy, Horror, Thriller
186;Reckless;0;0.119713;1995-11-17;0.0;Fantasy, Comedy, Drama
187;Safe;0;8.180047;1995-06-23;0.0;Drama
188;The Scarlet Letter;50000000;6.752119;1995-10-13;10382407.0;Drama, History, Romance
189;The Show;0;0.159596;1995-08-25;0.0;Documentary
190;Showgirls;45000000;17.502375;1995-09-22;20350754.0;Drama
191;Smoke;7000000;5.552946;1995-06-09;8349430.0;Comedy, Drama
192;Something to Talk About;0;3.743212;1995-08-04;50892160.0;Comedy
193;Species;35000000;13.492845;1995-07-07;113374103.0;Science Fiction, Horror, Action
194;The Stars Fell on Henrietta;0;0.913522;1995-09-15;0.0;Drama
195;Strange Days;42000000;11.223055;1995-10-13;7959291.0;Crime, Drama, Science Fiction, Thriller
196;Les parapluies de Cherbourg;0;8.133881;1964-02-19;0.0;Drama, Romance
197;The Tie That Binds;14000000;1.820419;1995-09-08;5780000.0;Thriller
198;Three Wishes;0;11.002046;1995-10-27;7025496.0;Drama, Fantasy
199;Total Eclipse;0;4.546552;1995-11-02;339889.0;Drama, Romance
200;To Wong Foo, Thanks for Everything! Julie Newmar;0;7.653446;1995-09-07;47774193.0;Comedy
201;Under Siege 2: Dark Territory;60000000;7.490247;1995-07-13;104324083.0;Action, Thriller
202;Unstrung Heroes;0;2.881689;1995-09-15;0.0;Comedy, Drama, Family
203;Unzipped;0;0.786023;1995-08-11;0.0;Documentary
204;A Walk in the Clouds;20000000;9.715639;1995-08-11;50012507.0;Drama, Romance
205;Waterworld;175000000;16.885184;1995-07-28;264218220.0;Adventure, Action
206;White Man's Burden;8000000;1.834099;1995-12-01;0.0;Drama
207;Wild Bill;30000000;8.922139;1995-12-01;0.0;Action, Western
208;The Browning Version;0;3.727644;1994-10-12;0.0;Drama
209;Bushwhacked;0;3.287036;1995-08-04;0.0;Adventure, Action, Comedy, Crime, Family
210;Утомлённые солнцем;2800000;2.486073;1994-05-01;2616503.0;Drama
211;Before the Rain;0;3.525649;1994-06-09;763847.0;Drama, War
212;Before Sunrise;2500000;11.304979;1995-01-27;5535405.0;Drama, Romance
213;Billy Madison;10000000;6.638116;1995-02-10;26488734.0;Comedy
214;The Babysitter;0;2.761837;1995-10-17;0.0;Drama, Thriller
215;Boys on the Side;21000000;3.030309;1995-02-03;23450000.0;Comedy, Drama
216;The Cure;0;2.686342;1995-04-21;0.0;Drama, Family
217;Castle Freak;0;2.26977;1995-08-04;0.0;Thriller, Drama, Horror, Mystery
218;Circle of Friends;0;2.605521;1995-03-16;0.0;Drama, Family, Romance
219;Clerks;27000;10.513367;1994-09-13;3151130.0;Comedy
220;Don Juan DeMarco;25000000;7.438934;1994-10-01;22200000.0;Romance, Drama, Comedy
221;Disclosure;55000000;11.812244;1994-12-09;214015089.0;Drama, Thriller, Crime, Mystery, Romance
222;Dream Man;0;0.155859;1995-01-01;0.0;Thriller
223;Drop Zone;45000000;9.579155;1994-12-08;0.0;Action, Adventure, Thriller
224;Destiny Turns on the Radio;0;0.710671;1995-04-28;0.0;Crime, Comedy, Fantasy
225;Death and the Maiden;0;5.484156;1994-05-04;0.0;Drama, Thriller, Mystery
226;Dolores Claiborne;0;5.8025;1995-03-24;0.0;Crime, Drama, Mystery
227;Dumb and Dumber;16000000;9.844558;1994-12-16;247275374.0;Comedy
228;飲食男女;0;4.860016;1994-08-03;7294403.0;Comedy, Drama, Romance
229;Exotica;0;5.378467;1994-09-24;0.0;Drama, Mystery
230;Exit to Eden;0;4.322726;1994-10-14;6841570.0;Thriller, Comedy, Crime, Romance
231;Ed Wood;18000000;11.720358;1994-09-27;5887457.0;Comedy, Drama, History
232;French Kiss;0;9.146544;1995-05-05;0.0;Comedy, Romance
233;Forget Paris;0;16.236745;1995-05-19;0.0;Comedy, Drama, Romance
234;Far from Home: The Adventures of Yellow Dog;0;2.657337;1995-01-13;0.0;Action, Adventure, Drama, Family
235;A Goofy Movie;0;10.177977;1995-04-07;35348597.0;Romance, Animation, Family, Comedy, Adventure
236;Hideaway;15000000;8.182165;1995-03-03;12201255.0;Drama, Thriller
237;Fluke;0;4.953936;1995-06-02;0.0;Drama, Family, Fantasy
238;Farinelli;0;8.935058;1994-12-07;0.0;History, Drama
239;Gordy;0;0.398924;1995-05-12;3992809.0;Drama, Family, Fantasy
240;Gumby: The Movie;0;0.090452;1995-12-01;0.0;Fantasy, Animation, Science Fiction, Family
241;The Glass Shield;0;1.012197;1994-09-16;0.0;Drama, Action, Thriller, Crime
242;Hoop Dreams;700000;9.47666;1994-09-12;7830611.0;Documentary
243;Heavenly Creatures;5000000;9.438042;1994-09-02;3049135.0;Drama, Fantasy
244;Houseguest;10500000;2.688562;1995-01-06;26325256.0;Comedy, Family
245;Immortal Beloved;120;7.983666;1994-12-16;0.0;Drama, Music, Romance
246;Heavyweights;0;9.546707;1995-02-17;17689177.0;Comedy, Family, Drama
247;The Hunted;0;2.756986;1995-02-24;0.0;Action, Thriller
248;I.Q.;25000000;5.146352;1994-12-24;0.0;Comedy, Drama, Romance
249;Interview with the Vampire;60000000;11.970205;1994-11-11;223664608.0;Horror, Romance
250;Jefferson in Paris;14000000;1.596058;1995-03-31;2474000.0;Drama, Romance
251;The Jerky Boys;0;0.748846;1995-02-03;0.0;Comedy, Crime
252;Junior;60000000;6.710215;1994-11-22;37000000.0;Comedy, Family, Romance
253;Just Cause;0;9.195256;1995-02-17;0.0;Action, Drama, Mystery, Thriller
254;A Kid in King Arthur's Court;0;5.874511;1995-08-11;0.0;Adventure, Fantasy, Comedy, Science Fiction, Family
255;Kiss of Death;40000000;7.797512;1995-04-21;0.0;Action, Crime, Drama, Thriller
256;Star Wars;11000000;42.149697;1977-05-25;775398007.0;Adventure, Action, Science Fiction
257;Little Women;18000000;9.774994;1994-12-21;0.0;Drama, Romance
258;A Little Princess;17000000;7.731725;1995-05-10;0.0;Drama, Family, Fantasy
259;Ladybird Ladybird;0;0.84508;1994-02-18;0.0;Drama
260;L'Enfer;10000000;1.948315;1994-02-16;0.0;Crime, Drama
261;Como agua para chocolate;2000000;4.126083;1992-04-16;21665468.0;Drama, Romance
262;Legends of the Fall;30000000;12.199047;1994-12-16;160638883.0;Adventure, Drama, Romance, War
263;Major Payne;0;9.253362;1995-03-24;0.0;Adventure, Comedy, Family
264;Little Odessa;0;1.861292;1994-10-27;0.0;Action, Drama
265;Mi Vida Loca;0;1.788829;1994-06-08;0.0;Crime, Drama
266;Love Affair;60000000;3.290192;1994-10-21;0.0;Drama, Romance
267;Losing Isaiah;17000000;7.698526;1995-03-17;7603766.0;Drama
268;The Madness of King George;0;4.81307;1994-12-28;0.0;Comedy, Drama, History
269;Frankenstein;45000000;14.287753;1994-11-04;112006296.0;Drama, Horror, Science Fiction, Romance
270;Man of the House;0;2.558118;1995-03-03;0.0;Action, Comedy, Family
271;Mixed Nuts;15000000;2.899608;1994-12-21;0.0;Comedy, Drama, Romance
272;Milk Money;0;3.770115;1994-08-31;18137661.0;Comedy, Romance
273;Miracle on 34th Street;0;5.831622;1994-11-18;46264384.0;Fantasy, Drama, Family
274;Miami Rhapsody;6;1.137266;1995-01-27;5.0;Comedy, Romance
275;My Family;5500000;3.121288;1995-05-03;0.0;Comedy, Drama
276;Murder in the First;0;9.518564;1995-01-20;17381942.0;Crime, Drama
277;Nobody's Fool;0;2.891269;1994-12-23;0.0;Drama, Comedy
278;Nell;31000000;5.930957;1994-12-23;106683817.0;Drama, Thriller
279;New Jersey Drive;0;0.629955;1995-04-19;0.0;Crime, Drama
280;New York Cop;0;0.004537;1993-08-14;0.0;Action, Thriller, Crime, Drama
281;Beyond Bedlam;4800000;0.426952;1994-04-22;0.0;Horror
282;Nemesis 2 - Nebula;0;1.466491;1995-09-26;0.0;Science Fiction, Action, Thriller
283;Nina Takes a Lover;0;0.769522;1995-03-03;0.0;Drama, Romance
284;Natural Born Killers;34000000;11.226856;1994-08-25;50282766.0;Crime, Thriller, Drama
285;Only You;0;4.936761;1994-09-17;0.0;Comedy, Drama, Romance
286;Once Were Warriors;0;4.025276;1994-09-02;2201126.0;Drama
287;Poison Ivy II: Lily;0;6.448039;1996-01-16;0.0;Drama, Romance, Thriller
288;Outbreak;50000000;13.676444;1995-03-10;189859560.0;Action, Drama, Science Fiction, Thriller
289;Léon;16000000;20.477329;1994-09-14;45284974.0;Thriller, Crime, Drama
290;The Perez Family;11000000;1.433544;1995-05-12;2832826.0;Comedy, Drama, Romance
291;A Pyromaniac's Love Story;0;0.463307;1995-04-28;0.0;Comedy, Drama, Romance
292;Pulp Fiction;8000000;140.950236;1994-09-10;213928762.0;Thriller, Crime
293;Panther;0;7.160149;1995-11-10;6834525.0;Drama
294;Pushing Hands;400000;1.638622;1992-02-01;152322.0;Comedy, Drama
295;Priest;0;1.881932;1994-01-01;4176932.0;Drama, Romance
296;Quiz Show;0;7.772505;1994-09-16;0.0;History, Drama
297;Picture Bride;0;1.296912;1995-05-05;0.0;Drama, History
298;La Reine Margot;0;4.405405;1994-05-13;0.0;Drama, History
299;The Quick and the Dead;32000000;7.54701;1995-02-09;18552460.0;Action, Western
300;Roommates;22000000;3.395867;1995-03-01;12400000.0;Drama, Comedy
301;Prêt-à-Porter;15000000;6.259433;1994-12-23;11300653.0;Drama, Comedy
302;Trois couleurs : Rouge;0;7.832755;1994-05-27;0.0;Drama, Mystery, Romance
303;Trois couleurs : Bleu;0;8.843517;1993-01-10;0.0;Drama, Music, Mystery
304;Trois couleurs : Blanc;0;6.5898;1994-01-26;0.0;Comedy, Drama, Mystery
305;Pao Da Shuang Deng;0;0.078257;1994-10-14;0.0;Drama
306;Rent-a-Kid;0;1.155255;1995-01-01;0.0;Comedy, Family, TV Movie
307;Relative Fear;0;0.499601;1995-10-03;0.0;Horror, Drama
308;Stuart Saves His Family;0;1.390885;1995-04-12;0.0;Comedy, Drama
309;The Swan Princess;35000000;8.910462;1994-11-18;9771658.0;Animation
310;The Secret of Roan Inish;0;1.750481;1994-01-01;0.0;Drama, Family, Fantasy
311;The Specialist;45000000;10.388183;1994-10-07;170362582.0;Action, Thriller
312;Stargate;55000000;13.328924;1994-10-27;196567262.0;Action, Adventure, Science Fiction
313;The Santa Clause;22000000;9.665424;1994-11-10;189833357.0;Fantasy, Drama, Comedy, Family
314;The Shawshank Redemption;25000000;51.645403;1994-09-23;28341469.0;Drama, Crime
315;Shallow Grave;0;8.223026;1994-12-22;0.0;Crime, Thriller
316;Suture;0;1.298224;1993-09-14;102780.0;Drama, Thriller
317;Fresa y chocolate;0;1.777197;1993-01-01;0.0;Comedy, Drama
318;Swimming with Sharks;0;5.869261;1994-09-10;0.0;Crime, Comedy
319;The Sum of Us;32;1.407427;1994-07-12;0.0;Comedy, Drama, Romance
320;Senior Trip;0;5.05806;1995-09-08;0.0;Comedy
321;活着;0;5.260627;1994-06-30;0.0;Drama, Romance, War
322;Tank Girl;25000000;7.602087;1995-03-31;4064495.0;Action, Comedy, Fantasy, Science Fiction
323;Tales from the Crypt: Demon Knight;0;9.455342;1995-01-13;0.0;Horror, Comedy, Thriller
324;Star Trek: Generations;38000000;8.105708;1994-11-17;120000000.0;Science Fiction, Action, Adventure, Thriller
325;Tales from the Hood;6000000;2.86007;1995-05-24;12000000.0;Crime, Horror, Thriller
326;Tom & Viv;0;0.704204;1994-04-15;0.0;Drama, Romance
327;Village of the Damned;0;6.529879;1995-04-28;0.0;Thriller, Horror, Science Fiction
328;Tommy Boy;0;11.971318;1995-03-31;32648673.0;Comedy
329;Vanya on 42nd Street;0;7.039846;1994-09-13;0.0;Drama, Romance
330;The Underneath;6500000;2.059771;1995-04-28;0.0;Thriller, Crime
331;The Walking Dead;0;0.620873;1995-02-24;0.0;Drama, War
332;What's Eating Gilbert Grape;11000000;10.3919;1993-12-17;10032765.0;Romance, Drama
333;Virtuosity;30000000;5.188399;1995-08-04;24048000.0;Action, Crime, Science Fiction, Thriller
334;While You Were Sleeping;17000000;15.783615;1995-04-21;182057016.0;Comedy, Drama, Romance
335;The War;0;3.908596;1994-11-04;0.0;Drama
336;Double Happiness;0;0.372239;1994-09-07;759393.0;Comedy, Romance
337;Muriel's Wedding;3000000;5.254847;1994-09-29;15119639.0;Drama, Comedy, Romance
338;The Baby-Sitters Club;0;2.15805;1995-08-18;0.0;Comedy, Drama, Family
339;Ace Ventura: Pet Detective;15000000;11.247957;1994-02-04;107217396.0;Comedy, Mystery
340;The Adventures of Priscilla, Queen of the Desert;0;8.328596;1994-05-31;11220670.0;Drama, Comedy
341;Backbeat;0;2.487951;1994-04-01;0.0;Drama, Music
342;Bitter Moon;5000000;11.298195;1992-09-02;1862805.0;Thriller, Drama, Romance
